text,Circulated as claim or as debunk or undecided,screen_name,user_id,tweet_id,retweet_count,created_at
"""Je n'ai pas de compte aux Bahamas"", assure Macron #MarineLePen #MacronEmmanuel #EmmanuelMacron #FranceInter https://t.co/i6bbVaHsVX",debunk,okawan,84599633,860287936755109888,0,2017-05-05T00:20:02.000Z
Compte aux #Bahamas ? #Macron porte plainte contre lui-même ! https://t.co/8EmNXA94A7,debunk,PanonduHazier,83594557,860131108935127041,138,2017-05-04T13:56:51.000Z
«Compte aux Bahamas» : Macron ciblé par le poison de la rumeur https://t.co/7Mfgcy4xKN via @libe,debunk,MichelFrossard,624635326,860491195524542465,0,2017-05-05T13:47:42.000Z
«Compte aux Bahamas» : Macron ciblé par le poison de la rumeur https://t.co/byVJLMzoa0 via @libe,debunk,g_gendron,365098264,860222429209255938,20,2017-05-04T19:59:43.000Z
"#2017Ledebat 
Le Pen laissant entendre que Macron aurait un compte aux Bahamas... immonde 
#JeVoteElleDegage",debunk,nfessol,227343441,859879455237517312,5,2017-05-03T21:16:52.000Z
"#Debat2017 : #MarineLePen a menti, #Macron n'a pas de compte aux Bahamas!
Non.
C'est à #Nevis...

#MacronGate",debunk,L_EMPALEUR,1220742698,860076854660579329,1,2017-05-04T10:21:16.000Z
#Présidentielle. « Compte aux Bahamas » : #Macron porte plainte que de révélations concernant ce jeune https://t.co/l5vq9sI8fl,debunk,alainschilling3,745255051988508700,860115973554270208,0,2017-05-04T12:56:42.000Z
Présidentielle. « Compte aux Bahamas » : Macron porte plainte | via @ouest-france  : https://t.co/BUuwMMejOQ,debunk,VandergheynstY,4873473377,860112070116880384,0,2017-05-04T12:41:12.000Z
«Compte aux Bahamas» : Macron ciblé par le poison de la rumeur - https://t.co/GRE0PFTazx via @libe,debunk,davidrieff,17632091,860248267128528897,0,2017-05-04T21:42:24.000Z
«Compte aux Bahamas» : Macron ciblé par le poison de la rumeur https://t.co/IvdmI55Dey via @libe,debunk,mattgordon67,4850644673,860416224857141249,0,2017-05-05T08:49:48.000Z
«Compte aux Bahamas» : Macron ciblé par le poison de la rumeur https://t.co/dvPCAN0dT9 via @libe,debunk,StavrosKyriazis,449015447,860240288954146821,0,2017-05-04T21:10:42.000Z
"#Macron “Non, je n’ai pas de compte aux Bahamas.” https://t.co/kAoTVu33if via @Valeurs",debunk,HonneurEtPatrie,710278543,860059456620679169,0,2017-05-04T09:12:08.000Z
"""Je n'ai pas de compte aux Bahamas"", assure Macron https://t.co/2JIE2aKkR3 #2017LeDebat #macronlepen",debunk,eldestmyriad,361356186,860106363195842560,0,2017-05-04T12:18:31.000Z
#Présidentielle. « Compte aux #Bahamas » :Macron porte plainte | via @ouestfrance https://t.co/GfNQNhgmk5 https://t.co/CB3idR1gc0,debunk,QuentinBml,1478043236,860094077244755969,0,2017-05-04T11:29:42.000Z
«Compte aux Bahamas» : Macron ciblé par le poison de la rumeur https://t.co/Zyg7xybROO via @libe,debunk,BENTAZA,145336551,861278878928687105,0,2017-05-07T17:57:41.000Z
"«Compte aux Bahamas» : Macron ciblé par le poison de la rumeur.
https://t.co/NcZ8msikwJ",debunk,rolandrichard,57655137,861126350521946113,0,2017-05-07T07:51:35.000Z
"Présidentielle: Macron a déposé plainte concernant la fausse rumeur d'un compte aux Bahamas...
 https://t.co/SLKkY4XaSw",debunk,YassineDoublali,165948185,860087160455737345,0,2017-05-04T11:02:13.000Z
"""Compte aux Bahamas"" : dans les coulisses de la #fakenews visant #Macron https://t.co/UfzKIgx4Rk",debunk,DuriezR,1875144936,860146718033227776,0,2017-05-04T14:58:52.000Z
"Compte aux Bahamas» : le parquet ouvre une enquête après la plainte de Macron
https://t.co/ALXseZrn1t",debunk,patricia691503,91963845,860134716690894849,3,2017-05-04T14:11:11.000Z
"«Compte aux #Bahamas» : après la plainte de #Macron, le parquet ouvre une #enquête https://t.co/FxGFiN6EvD",debunk,teppdude,17400044,860282527348600832,0,2017-05-04T23:58:32.000Z
"""Compte aux Bahamas"": #Macron porte plainte, la justice ouvre une enquête #AFP https://t.co/Kta0P3ynqc",debunk,nathalie_alonso,144571131,860139298494001152,24,2017-05-04T14:29:24.000Z
« Compte aux Bahamas »: Plainte de Macron pour « faux » et « propagation de fausse nouvelle »… https://t.co/pYiGQurYlF,debunk,_infos,426482776,860090183475011584,1,2017-05-04T11:14:14.000Z
«Compte aux Bahamas» : Macron ciblé par le poison de la rumeur https://t.co/KZuc4oeeO6 via @libe,debunk,elikepar,850771262733520900,860934468722470912,0,2017-05-06T19:09:07.000Z
"«Compte aux Bahamas» : Macron ciblé par le poison de la rumeur
 https://t.co/sSLHDHUdyh",debunk,Mdsl66,389550280,860552377904091140,0,2017-05-05T17:50:49.000Z
Rumeur d’un compte aux #Bahamas : Emmanuel #Macron porte plainte https://t.co/tMKEkhAfJQ,debunk,BebzinLondon,138695612,860107839045500928,0,2017-05-04T12:24:23.000Z
Compte aux Bahamas: #Macron porte plainte pour «propagation de fausse nouvelle» https://t.co/QoT3rIXYC2 via @Le_Figaro,debunk,michelsalion,912457093,860094943112593408,1,2017-05-04T11:33:08.000Z
«Compte aux Bahamas» : Macron ciblé par le poison de la rumeur - https://t.co/RnJmc9CeZ6 via @libe,debunk,jlefilliatre,25257657,860379813537861640,0,2017-05-05T06:25:07.000Z
Présidentielle. « Compte aux Bahamas » : Macron porte plainte | via @ouestfrance  https://t.co/Rc55Wn7rah,debunk,FourmontPaul,2580203028,860096820793442306,0,2017-05-04T11:40:36.000Z
#Présidentielle2017 : « Compte aux Bahamas » : Macron porte plainte | via @ouestfrance  https://t.co/5HvmYd1QS7 #LeDebat2017,debunk,kvnverger,82667409,860105721098231808,1,2017-05-04T12:15:58.000Z
«Compte aux Bahamas» : Macron ciblé par le poison de la rumeur https://t.co/vS0QR1wiuF via @libe,debunk,PhilVelissariou,463711153,860243962849873922,0,2017-05-04T21:25:17.000Z
"D'après Macron, il n'aurait pas de compte aux Bahamas #MacronGate https://t.co/qKeFlqLhN5",debunk,onEscapee,2714517152,860107081034207233,4,2017-05-04T12:21:22.000Z
"""Compte aux Bahamas"": Plainte de #Macron pour ""faux"" et ""propagation de fausse nouvelle"" - https://t.co/QXw0NlLbf1",debunk,resistance75,168521753,860092217880444928,2,2017-05-04T11:22:19.000Z
